theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.2,0.02,68,0.02,0.14,0.05,0.01,0.01,0.77
"(1,1)",0.2,0.02,69,0.02,0.14,0.04,0.02,0.0,0.78
"(1,1)",0.2,0.02,70,0.02,0.14,0.04,0.01,0.01,0.78
"(1,1)",0.3,0.02,1,0.95,0.05,0.0,0.0,0.0,0.0
"(1,1)",0.3,0.02,2,0.91,0.08,0.01,0.0,0.0,0.0
"(1,1)",0.3,0.02,3,0.81,0.18,0.01,0.0,0.0,0.0
"(1,1)",0.3,0.02,4,0.65,0.32,0.03,0.0,0.0,0.0
"(1,1)",0.3,0.02,5,0.49,0.47,0.02,0.02,0.0,0.0
"(1,1)",0.3,0.02,6,0.33,0.58,0.06,0.03,0.0,0.0
"(1,1)",0.3,0.02,7,0.24,0.55,0.15,0.06,0.0,0.0
"(1,1)",0.3,0.02,8,0.19,0.51,0.17,0.12,0.01,0.0
"(1,1)",0.3,0.02,9,0.16,0.37,0.3,0.15,0.02,0.0
"(1,1)",0.3,0.02,10,0.13,0.31,0.31,0.21,0.04,0.0
"(1,1)",0.3,0.02,11,0.08,0.31,0.26,0.24,0.11,0.0
"(1,1)",0.3,0.02,12,0.06,0.28,0.21,0.29,0.13,0.03
"(1,1)",0.3,0.02,13,0.04,0.25,0.22,0.29,0.15,0.05
"(1,1)",0.3,0.02,14,0.03,0.24,0.17,0.31,0.18,0.07
"(1,1)",0.3,0.02,15,0.03,0.2,0.2,0.27,0.19,0.11
"(1,1)",0.3,0.02,16,0.02,0.18,0.19,0.26,0.21,0.14
"(1,1)",0.3,0.02,17,0.01,0.18,0.16,0.22,0.26,0.17
"(1,1)",0.3,0.02,18,0.01,0.17,0.14,0.21,0.25,0.22
"(1,1)",0.3,0.02,19,0.01,0.17,0.12,0.17,0.23,0.3
"(1,1)",0.3,0.02,20,0.0,0.16,0.13,0.16,0.17,0.38
